Address_Line,City,State,Postal_Code,Property_Type,bg_geo_id,CS_ID,url,Price,SquareFeet,Building_Class,Year_Built,Sale_Type,Picture_url,Upload_Date,Currently_listed,Sale_Lease,old_CS_ID
18414 Veterans Memorial Hwy,Bonney Lake,WA,98391,Land,,LN-6176568,https://www.loopnet.com/Listing/18414-Veterans-Memorial-Hwy-Bonney-Lake-WA/6176568/,297000,,N/A,N/A,Investment,N/A,2021-03-02,true,Sale,
"22605, 22723 & 22809 Meridian Ave",N/A,N/A,N/A,N/A,,LN-4000808,https://www.loopnet.com/Listing/22605-22723-22809-Meridian-Ave/4000808/,8122000,,N/A,N/A,Investment,N/A,2021-03-02,true,Sale,
Military Rd E,Edgewood,WA,98372,Land,,LN-3857046,https://www.loopnet.com/Listing/Military-Rd-E-Edgewood-WA/3857046/,990000,,N/A,N/A,Investment,N/A,2021-03-02,true,Sale,
10002 Steele St,Tacoma,WA,98444,Industrial,,LN-21490344,https://www.loopnet.com/Listing/10002-Steele-St-Tacoma-WA/21490344/,,128634,A,2022,InvestmentorOwnerUser,N/A,2021-03-02,true,Sale,
State Route 7,Spanaway,WA,98387,Land,,LN-19771017,https://www.loopnet.com/Listing/State-Route-7-Spanaway-WA/19771017/,,,N/A,N/A,InvestmentorOwnerUser,N/A,2021-03-02,true,Sale,
Cedar Plaza,N/A,N/A,N/A,N/A,,LN-17213558,https://www.loopnet.com/Listing/Cedar-Plaza/17213558/,,,N/A,N/A,Investment,N/A,2021-03-02,true,Sale,
Portfolio of 2 Properties,N/A,N/A,N/A,N/A,,LN-14058037,https://www.loopnet.com/Listing/Portfolio-Sale-of-2-Lakewood-Properties/14058037/,,,N/A,N/A,InvestmentorOwnerUser,N/A,2021-03-02,true,Sale,
20115-20317 Meridian Ave E,Graham,WA,98338,Land,,LN-12170223,https://www.loopnet.com/Listing/20115-20317-Meridian-Ave-E-Graham-WA/12170223/,,,N/A,N/A,Investment,N/A,2021-03-02,true,Sale,
14401 Pacific Ave,Tacoma,WA,98444,Land,,LN-3934491,https://www.loopnet.com/Listing/14401-Pacific-Ave-Tacoma-WA/3934491/,,,N/A,N/A,Investment,N/A,2021-03-02,true,Sale,
2608 S 47th St,Tacoma,WA,98409,Office,530530626002,LN-22202096,https://www.loopnet.com/Listing/2608-S-47th-St-Tacoma-WA/22202096/,6100000,20000,C,1999/2013,Investment,N/A,2021-03-02,true,Sale,
1179 Dock St,Tacoma,WA,98402,Land,530530602001,LN-22093926,https://www.loopnet.com/Listing/1179-Dock-St-Tacoma-WA/22093926/,3750000,,N/A,N/A,Investment,N/A,2021-03-02,true,Sale,
1119 Pacific Ave,Tacoma,WA,98402,Office,530530616011,LN-21177908,https://www.loopnet.com/Listing/1119-Pacific-Ave-Tacoma-WA/21177908/,8500000,87564,B,1912/1986,Investment,N/A,2021-03-02,true,Sale,
23101 Mountain Hwy E,Spanaway,WA,98387,Land,530530731141,LN-16122969,https://www.loopnet.com/Listing/23101-Mountain-Hwy-E-Spanaway-WA/16122969/,8000000,,N/A,N/A,Investment,N/A,2021-03-02,true,Sale,
NW Freeman Rd & 26th St,Fife,WA,98424,Land,,LN-11493457,https://www.loopnet.com/Listing/NW-Freeman-Rd-26th-St-Fife-WA/11493457/,,,N/A,N/A,Investment,N/A,2021-03-02,true,Sale,
123 150th Ct S,Tacoma,WA,98445,Land,,LN-8625418,https://www.loopnet.com/Listing/123-150th-Ct-S-Tacoma-WA/8625418/,,,N/A,N/A,Investment,N/A,2021-03-02,true,Sale,
4023 S Orchard,Tacoma,WA,98466,Industrial,530530628011,LN-20886717,https://www.loopnet.com/Listing/4023-S-Orchard-Tacoma-WA/20886717/,2807600,23384,C,1980,Investment,N/A,2021-02-10,true,Sale,
1401 S Union Ave,Tacoma,WA,98405,Office,530530612001,LN-20058903,https://www.loopnet.com/Listing/1401-S-Union-Ave-Tacoma-WA/20058903/,1750000,4886,C,1975,Investment,N/A,2021-02-10,true,Sale,
5110 Chicago Ave SW,Tacoma,WA,98499,Multifamily,530530718061,LN-21769054,https://www.loopnet.com/Listing/5110-Chicago-Ave-SW-Tacoma-WA/21769054/,5750000,,N/A,1977,Investment,N/A,2021-02-10,true,Sale,
4723 E Freeman Rd,Puyallup,WA,98371,Land,530539400101,LN-3788534,https://www.loopnet.com/Listing/4723-E-Freeman-Rd-Puyallup-WA/3788534/,1650000,,N/A,N/A,Investment,N/A,2021-02-26,true,Sale,
6323 Pacific Hwy E,Fife,WA,98424,Retail,530539400021,LN-22154019,https://www.loopnet.com/Listing/6323-Pacific-Hwy-E-Fife-WA/22154019/,1200000,4354,B,1982,Investment or Owner User,N/A,2021-02-26,true,Sale,
2513 Meridian Ave E,Edgewood,WA,98371,Land,530530735003,LN-21959583,https://www.loopnet.com/Listing/2513-Meridian-Ave-E-Edgewood-WA/21959583/,920000,,N/A,N/A,Investment,N/A,2021-02-26,true,Sale,
412 23rd St,Puyallup,WA,98372,Land,530530734063,LN-17033691,https://www.loopnet.com/Listing/412-23rd-St-Puyallup-WA/17033691/,800000,,N/A,N/A,Investment,N/A,2021-02-26,true,Sale,
1824 S Meridian St,Puyallup,WA,98371,Office,530530734052,LN-19626041,https://www.loopnet.com/Listing/1824-S-Meridian-St-Puyallup-WA/19626041/,575000,1728,C,1975,Owner User,N/A,2021-02-26,true,Sale,
16504 64th St E,Sumner,WA,98390,Land,530530733022,LN-17868872,https://www.loopnet.com/Listing/16504-64th-St-E-Sumner-WA/17868872/,3200000,,N/A,N/A,OwnerUser,N/A,2021-02-26,true,Sale,
16313 64th St E,Sumner,WA,98390,Land,530530733012,LN-18819368,https://www.loopnet.com/Listing/16313-64th-St-E-Sumner-WA/18819368/,950000,,N/A,N/A,Investment,N/A,2021-02-26,true,Sale,
420 N Meridian,Puyallup,WA,98371,Office,530530734073,21468327,https://www.loopnet.com/Listing/420-N-Meridian-Puyallup-WA/21468327/,995000,4224,B,1961/2007,Owner User,N/A,2021-02-26,true,Sale,
10117 S Tacoma Way,Lakewood,WA,98499,Sports&Entertainment,530530718072,18771550,https://www.loopnet.com/Listing/10117-S-Tacoma-Way-Lakewood-WA/18771550/,8800000,,B,2003,Investment,N/A,2021-02-26,true,Sale,
5110 Chicago Ave SW,Tacoma,WA,98499,Multifamily,530530718061,21769054,https://www.loopnet.com/Listing/5110-Chicago-Ave-SW-Tacoma-WA/21769054/,5750000,,N/A,1977,Investment,N/A,2021-02-26,true,Sale,
9810 Pacific Ave,Tacoma,WA,98444,Retail,530530717051,20742136,https://www.loopnet.com/Listing/9810-Pacific-Ave-Tacoma-WA/20742136/,2370000,1682,B,2017,Investment,N/A,2021-02-26,true,Sale,
4404 S Meridian,Puyallup,WA,98373,Retail,530530712073,20956338,https://www.loopnet.com/Listing/4404-S-Meridian-Puyallup-WA/20956338/,6230000,14355,N/A,2002,Investment,N/A,2021-02-26,true,Sale,
4201 S Steele St,Tacoma,WA,98409,Retail,530530626002,21058749,https://www.loopnet.com/Listing/4201-S-Steele-St-Tacoma-WA/21058749/,3300000,6737,B,1993,Owner User,N/A,2021-02-26,true,Sale,
9801 A St,Tacoma,WA,98444,Land,530530716023,LN-21975731,https://www.loopnet.com/Listing/9801-A-St-Tacoma-WA/21975731/,1400000,,N/A,N/A,Investment,N/A,2021-02-26,true,Sale,
1401 S Union Ave,Tacoma,WA,98405,Office,530530612004,20058903,https://www.loopnet.com/Listing/1401-S-Union-Ave-Tacoma-WA/20058903/,1750000,4886,C,1975,Investment,N/A,2021-02-26,true,Sale,
708 Market St,Tacoma,WA,98402,Multifamily(Condo),530530616011,LN-21673589,https://www.loopnet.com/Listing/708-Market-St-Tacoma-WA/21673589/,510000,,A,2007,InvestmentorOwnerUser,N/A,2021-02-26,true,Sale,
1113-1115 A St,Tacoma,WA,98402,Office,530530616011,LN-21889127,https://www.loopnet.com/Listing/1113-1115-A-St-Tacoma-WA/21889127/,2025000,17000,B,1923,Investment,N/A,2021-02-26,true,Sale,
1123 Pacific Ave,Tacoma,WA,98402,Office,530530616011,LN-3726167,https://www.loopnet.com/Listing/1123-Pacific-Ave-Tacoma-WA/3726167/,4975000,26804,B,1919/2007,Investment or Owner User,N/A,2021-02-26,true,Sale,
808 N 2nd St,Tacoma,WA,98403,Office,530530615001,LN-21423976,https://www.loopnet.com/Listing/808-N-2nd-St-Tacoma-WA/21423976/,899000,2044,B,1985,Investment or Owner User,N/A,2021-02-26,true,Sale,
414 N D St,Tacoma,WA,98403,Multifamily,530530615001,LN-22244199,https://www.loopnet.com/Listing/414-N-D-St-Tacoma-WA/22244199/,880000,,C,1891/1983,Investment,N/A,2021-02-26,true,Sale,
1720 S 7th St,Tacoma,WA,98405,Industrial,530530613006,LN-21227269,https://www.loopnet.com/Listing/1720-S-7th-St-Tacoma-WA/21227269/,4950000,37450,C,1950,InvestmentorOwnerUser,N/A,2021-02-26,true,Sale,
1502 6th Ave,Tacoma,WA,98405,Retail,530530613001,LN-16681285,https://www.loopnet.com/Listing/1502-6th-Ave-Tacoma-WA/16681285/,795000,1747,C,1963,Investment,N/A,2021-02-26,true,Sale,
4412 6th Ave,Tacoma,WA,98406,OfficeOfficeGeneral Retail Convenience StoreGeneral Retail RestaurantGeneral Retail Storefront Retail/OfficeOffice,530530611006,LN-18918096,https://www.loopnet.com/Listing/4412-6th-Ave-Tacoma-WA/18918096/,695000,3648,C,1946/1981,Investment or Owner User,N/A,2021-02-26,true,Sale,
2401 N Pearl St,Tacoma,WA,98406,Retail,530530609062,LN-17569293,https://www.loopnet.com/Listing/2401-N-Pearl-St-Tacoma-WA/17569293/,4740000,43327,B,1986/1991,Investment NNN,N/A,2021-02-26,true,Sale,
3230 N Narrows Dr,Tacoma,WA,98407,Land,530530609033,LN-3958478,https://www.loopnet.com/Listing/3230-N-Narrows-Dr-Tacoma-WA/3958478/,7900000,,N/A,N/A,Investment,N/A,2021-02-26,true,Sale,
2213 N Warner St,Tacoma,WA,98406,Specialty,530530605003,LN-19374344,https://www.loopnet.com/Listing/2213-N-Warner-St-Tacoma-WA/19374344/,1100000,,N/A,1909/1977,InvestmentorOwnerUser,N/A,2021-02-26,true,Sale,
401 E 15th St,Tacoma,WA,98421,Specialty,530530602001,LN-14109212,https://www.loopnet.com/Listing/401-E-15th-St-Tacoma-WA/14109212/,5750000,,C,1998,OwnerUser,N/A,2021-02-26,true,Sale,
