"Block.Group.ID","Average.Block.Group.Score","Population","Population..3.Miles","Households..3.Miles","Kids.under.5","Kids.under.5..3.Miles","Kids.5.to.9","Kids.5.to.9..3.Miles","Average.Age","Household.income.under.40K..3.Mile","Household.income.40K.to.50K..3.Mile","Household.income.50K.to.60K..3.Mile","Household.income.60K.to.75K..3.Mile","Household.income.75K.to.100K..3.Mile","Household.income.100K.to.125K..3.Mile","Household.income.125K.to.150K..3.Mile","Household.income.150K.to.200K..3.Mile","Household.income.200K...3.Mile","Predicted.Score"
530670113002,NA,1152,85527,34147,0.009,0.061,0,0.063,83.9,0.27,0.089,0.093,0.121,0.158,0.108,0.07,0.051,0.04,3.90440564458901
530670113003,NA,815,84215,33232,0.093,0.063,0.037,0.065,31.1,0.26,0.089,0.096,0.129,0.165,0.102,0.071,0.053,0.035,4.51042355802458
530670113004,NA,881,76191,30184,0.125,0.063,0.027,0.063,32.9,0.255,0.089,0.093,0.126,0.169,0.11,0.065,0.053,0.04,4.51180834597229
530670114101,NA,1063,80092,31545,0.072,0.065,0.107,0.065,30.1,0.262,0.088,0.097,0.125,0.166,0.106,0.068,0.053,0.034,4.51091226316208
530670114102,NA,978,79547,31133,0.083,0.065,0.084,0.067,35.9,0.261,0.088,0.099,0.123,0.167,0.108,0.069,0.052,0.033,4.50939919018203
530670114103,NA,715,76120,29918,0.008,0.066,0.039,0.067,48.4,0.268,0.089,0.099,0.126,0.165,0.106,0.067,0.051,0.03,3.90573611003847
530670114104,NA,2794,84059,32479,0.094,0.067,0.049,0.068,35.2,0.268,0.089,0.096,0.125,0.165,0.107,0.068,0.054,0.028,4.3247686144388
530670114201,NA,1889,72242,28216,0.029,0.064,0.038,0.064,38.5,0.239,0.09,0.095,0.127,0.178,0.111,0.068,0.056,0.035,3.95967969264579
530670114202,NA,2096,78628,30211,0.103,0.067,0.091,0.066,28.2,0.255,0.088,0.095,0.125,0.173,0.112,0.07,0.055,0.028,4.51214125555383
530670114203,NA,1790,67942,26112,0.027,0.067,0.057,0.066,40.5,0.253,0.09,0.089,0.134,0.173,0.105,0.071,0.055,0.03,3.95602805212361
530670114204,NA,1608,78593,30605,0.081,0.065,0.032,0.066,30.8,0.253,0.088,0.094,0.123,0.176,0.108,0.068,0.053,0.036,4.49682760194877
530670115001,NA,1009,47354,18013,0.056,0.071,0.067,0.07,35.3,0.251,0.09,0.097,0.143,0.155,0.099,0.065,0.069,0.033,4.48019609124078
530670115002,NA,1355,59545,23225,0.153,0.066,0.063,0.065,27,0.27,0.092,0.097,0.135,0.146,0.101,0.066,0.063,0.032,4.512494972673
530670115003,NA,1534,62973,24406,0,0.067,0.056,0.065,40.9,0.269,0.092,0.095,0.132,0.149,0.104,0.064,0.063,0.031,3.94307938858982
530670115004,NA,1417,54086,20618,0.088,0.067,0.052,0.067,36.9,0.24,0.091,0.1,0.139,0.157,0.101,0.071,0.065,0.036,4.49980051917097
530670115005,NA,1203,55694,21116,0.026,0.067,0.145,0.066,38.1,0.241,0.09,0.098,0.14,0.158,0.103,0.07,0.065,0.035,4.3979548532093
530670116101,NA,2207,61728,23430,0.101,0.062,0.088,0.064,32.4,0.252,0.091,0.092,0.135,0.165,0.105,0.077,0.054,0.03,4.51156988667541
530670116102,NA,1347,77734,29794,0.111,0.068,0.028,0.069,53.6,0.264,0.09,0.095,0.128,0.167,0.106,0.068,0.056,0.026,3.93087527934363
530670116103,NA,1298,69701,26465,0.022,0.069,0.032,0.068,49.4,0.251,0.087,0.09,0.138,0.175,0.107,0.072,0.053,0.026,3.94011835464516
530670116104,NA,2737,70724,26607,0.056,0.07,0.09,0.068,38.5,0.245,0.092,0.094,0.138,0.173,0.106,0.072,0.051,0.029,3.97740165754534
530670116211,NA,1115,68350,26748,0.061,0.063,0.074,0.061,45.6,0.244,0.089,0.091,0.117,0.171,0.114,0.069,0.059,0.046,4.13732926688542
530670116212,NA,3554,71372,27591,0.095,0.062,0.073,0.063,36.5,0.228,0.088,0.092,0.12,0.18,0.114,0.071,0.064,0.042,4.30731031993565
530670116213,NA,3000,65308,25368,0.063,0.065,0.055,0.063,29.3,0.229,0.089,0.089,0.125,0.18,0.115,0.072,0.063,0.039,4.3057517788673
530670116221,NA,1592,59864,23298,0.065,0.071,0.077,0.065,37.8,0.242,0.088,0.087,0.133,0.177,0.118,0.067,0.058,0.029,4.3879331343325
530670116222,NA,1900,58249,22755,0.084,0.069,0.061,0.064,34.1,0.247,0.088,0.089,0.131,0.176,0.113,0.065,0.062,0.029,4.50348820564299
530670116223,NA,1402,54663,20983,0.095,0.072,0.103,0.067,31.1,0.232,0.089,0.081,0.135,0.182,0.113,0.072,0.062,0.033,4.51215061663727
530670116231,NA,1029,60347,23070,0.033,0.062,0.058,0.065,50.6,0.212,0.081,0.082,0.117,0.18,0.129,0.075,0.073,0.05,3.95745456939487
530670116232,NA,5148,60924,23425,0.119,0.066,0.095,0.065,30.5,0.218,0.087,0.085,0.128,0.184,0.119,0.073,0.068,0.036,4.49271525676408
530670116241,NA,706,54707,20692,0.064,0.073,0,0.068,37.9,0.223,0.088,0.08,0.136,0.185,0.117,0.076,0.062,0.033,4.16624244492581
530670116242,NA,3663,48891,18464,0.054,0.075,0.081,0.069,37.8,0.221,0.084,0.085,0.133,0.191,0.112,0.075,0.067,0.031,3.88732021022602
530670117101,NA,3104,74515,30333,0.033,0.061,0.06,0.06,40.6,0.267,0.089,0.093,0.116,0.156,0.112,0.064,0.059,0.043,3.8991753119563
530670117102,NA,1560,72347,29955,0.01,0.054,0.037,0.058,37.9,0.27,0.087,0.095,0.107,0.157,0.114,0.065,0.062,0.043,3.97742634594254
