"bg_geo_id","score","model_id","date_obtained"
"530330075001","3","11","2021-03-12"
"530330075002","4","11","2021-03-12"
"530330075003","3","11","2021-03-12"
"530330075004","4","11","2021-03-12"
"530330075005","4","11","2021-03-12"
"530330076001","3","11","2021-03-12"
"530330076002","3","11","2021-03-12"
"530330076003","3","11","2021-03-12"
"530330077001","3","11","2021-03-12"
"530330077002","3","11","2021-03-12"
"530330077003","3","11","2021-03-12"
"530330077004","3","11","2021-03-12"
"530330078001","2","11","2021-03-12"
"530330078002","3","11","2021-03-12"
"530330078003","3","11","2021-03-12"
"530330078004","3","11","2021-03-12"
"530330079001","4","11","2021-03-12"
"530330079002","4","11","2021-03-12"
"530330079003","3","11","2021-03-12"
"530330079004","3","11","2021-03-12"
"530330079005","4","11","2021-03-12"
"530330080011","3","11","2021-03-12"
"530330080012","3","11","2021-03-12"
"530330080013","3","11","2021-03-12"
"530330080014","3","11","2021-03-12"
"530330080015","4","11","2021-03-12"
"530330080021","3","11","2021-03-12"
"530330080022","3","11","2021-03-12"
"530330081001","3","11","2021-03-12"
"530330081002","3","11","2021-03-12"
"530330081003","2","11","2021-03-12"
"530330082001","3","11","2021-03-12"
"530330082002","4","11","2021-03-12"
"530330082003","2","11","2021-03-12"
"530330083001","3","11","2021-03-12"
"530330083002","3","11","2021-03-12"
"530330084001","4","11","2021-03-12"
"530330084002","3","11","2021-03-12"
"530330084003","4","11","2021-03-12"
"530330085001","3","11","2021-03-12"
"530330085002","4","11","2021-03-12"
"530330085003","3","11","2021-03-12"
"530330086001","4","11","2021-03-12"
"530330086002","4","11","2021-03-12"
"530330086003","4","11","2021-03-12"
"530330087001","4","11","2021-03-12"
"530330087002","4","11","2021-03-12"
"530330087003","3","11","2021-03-12"
"530330088001","3","11","2021-03-12"
"530330088002","3","11","2021-03-12"
"530330088003","3","11","2021-03-12"
"530330089001","3","11","2021-03-12"
"530330089002","3","11","2021-03-12"
"530330089003","3","11","2021-03-12"
"530330089004","3","11","2021-03-12"
"530330090001","3","11","2021-03-12"
"530330090002","3","11","2021-03-12"
"530330091001","2","11","2021-03-12"
"530330091002","3","11","2021-03-12"
