CS_ID,Address_Line,url,City,Postal_Code,Property_Type,Year_Built,Price,SquareFeet,$ per sq ft,Sale_Type,Block Group ID,Population,Population: 3 Miles,Households: 3 Miles,Kids under 5,Kids under 5: 3 Miles,Kids 5 to 9,Kids 5 to 9: 3 Miles,Average Age,Household income under 40K: 3 Mile,Household income 40K to 50K: 3 Mile,Household income 50K to 60K: 3 Mile,Household income 60K to 75K: 3 Mile,Household income 75K to 100K: 3 Mile,Household income 100K to 125K: 3 Mile,Household income 125K to 150K: 3 Mile,Household income 150K to 200K: 3 Mile,Household income 200K+: 3 Mile
LN-17569293,2401 N Pearl St,https://www.loopnet.com/Listing/2401-N-Pearl-St-Tacoma-WA/17569293/,Tacoma,98406,Retail,1986/1991,4740000,43327,109,Investment NNN,5.30531E+11,811,91774,39281,53,5098,45,5331,49.3,0.307,0.087,0.072,0.103,0.135,0.101,0.063,0.068,0.063
LN-21468327,3130 S 23rd St,https://www.loopnet.com/Listing/420-N-Meridian-Puyallup-WA/21468327/,Tacoma,98405,Retail,1991,13700000,61484,223,Investment,5.30531E+11,899,119674,51755,77,6556,36,7130,38.5,0.344,0.092,0.076,0.1,0.133,0.094,0.054,0.058,0.05
LN-21099885,1950 S State St,https://www.loopnet.com/Listing/1950-S-State-St-Tacoma-WA/21099885/,Tacoma,98405,Flex,1974,17250000,242000,71,InvestmentorOwnerUser,5.30531E+11,1047,125940,51709,33,7611,12,8138,43.6,0.346,0.101,0.079,0.106,0.135,0.092,0.051,0.053,0.037
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18771550,10117 S Tacoma Way,https://www.loopnet.com/Listing/10117-S-Tacoma-Way-Lakewood-WA/18771550/,Lakewood,98499,Sports&Entertainment,2003,8800000,25000,352,Investment,5.30531E+11,1924,101780,38691,148,8305,138,6988,33.8,0.412,0.112,0.102,0.108,0.117,0.066,0.042,0.027,0.014
21769054,5110 Chicago Ave SW,https://www.loopnet.com/Listing/5110-Chicago-Ave-SW-Tacoma-WA/21769054/,Tacoma,98499,Multifamily,1977,5750000,26250,219,Investment,5.30531E+11,2464,63750,24638,229,5204,283,4529,28.9,0.427,0.106,0.093,0.101,0.121,0.063,0.041,0.023,0.025
LN-12239253,6802 27th St W,https://www.loopnet.com/Listing/6802-27th-St-W-University-Place-WA/12239253/,University Place,98466,Land,N/A,6862442,315376,22,Investment,5.30531E+11,1153,97429,40132,145,6981,101,5494,28.5,0.322,0.096,0.085,0.1,0.145,0.092,0.057,0.053,0.051
LN-14109212,401 E 15th St,https://www.loopnet.com/Listing/401-E-15th-St-Tacoma-WA/14109212/,Tacoma,98421,Specialty,1998,5750000,84285,68,OwnerUser,5.30531E+11,2414,69923,27762,11,3905,6,3940,35,0.319,0.081,0.074,0.1,0.131,0.1,0.07,0.068,0.057
LN-16445283,12221 Shaw Rd,https://www.loopnet.com/Listing/12221-Shaw-Rd-Puyallup-WA/16445283/,Puyallup,98374,Land,N/A,2300000,245678.4,9,OwnerUser,5.30531E+11,3413,60854,22396,315,3809,189,3771,38.2,0.243,0.079,0.063,0.133,0.137,0.121,0.08,0.08,0.063
LN-17033691,412 23rd St,https://www.loopnet.com/Listing/412-23rd-St-Puyallup-WA/17033691/,Puyallup,98372,Land,N/A,800000,49222.8,16,Investment,5.30531E+11,2689,59798,23233,342,3598,237,3172,27.2,0.25,0.085,0.086,0.114,0.146,0.11,0.064,0.088,0.057
LN-17692757,12716 86th Ave E,https://www.loopnet.com/Listing/12716-86th-Ave-E-Puyallup-WA/17692757/,Puyallup,98373,Land,N/A,1150000,217800,5,OwnerUser,5.30531E+11,1246,72712,26145,76,4402,73,4541,39.9,0.24,0.087,0.072,0.126,0.14,0.123,0.08,0.086,0.046
LN-17868872,16504 64th St E,https://www.loopnet.com/Listing/16504-64th-St-E-Sumner-WA/17868872/,Sumner,98390,Land,N/A,3200000,44431.2,72,OwnerUser,5.30531E+11,1586,46139,17301,66,2892,96,2775,43.9,0.202,0.091,0.09,0.11,0.151,0.115,0.07,0.098,0.074
LN-18181149,21509 Mountain Hwy E,https://www.loopnet.com/Listing/21509-Mountain-Hwy-E-Spanaway-WA/18181149/,Spanaway,98387,Land,N/A,600000,70567.2,9,Investment,5.30531E+11,1617,42406,13944,162,3340,100,3784,31.9,0.25,0.069,0.095,0.137,0.177,0.092,0.088,0.061,0.032
LN-18181205,18811 38th Ave E,https://www.loopnet.com/Listing/18811-38th-Ave-E-Tacoma-WA/18181205/,Tacoma,98446,Land,N/A,495000,42688.8,12,Investment,5.30531E+11,667,75025,24389,15,5703,21,6391,37.7,0.195,0.062,0.094,0.129,0.191,0.127,0.09,0.069,0.042
