CS_ID,url,AddressLine,City,State,PostalCode,GeoCode,PropertyType,Price,SquareFeet,BuildingClass,YearBuilt,SaleType
LN-14192655,https://www.loopnet.com/Listing/11619-Pacific-Hwy-SW-Lakewood-WA/14192655/,11619 Pacific Hwy SW,Lakewood,WA,98499,53053071806,Retail,"$700,000","4,208 SF",C,1963,Owner User
LN-14109212,https://www.loopnet.com/Listing/401-E-15th-St-Tacoma-WA/14109212/,401 E 15th St,Tacoma,WA,98421,53053060200,Specialty,"$5,750,000",N/A,C,1998,OwnerUser
LN-13929508,https://www.loopnet.com/Listing/18426-Veterans-Memorial-Hwy-Bonney-Lake-WA/13929508/,18426 Veterans Memorial Hwy,Bonney Lake,WA,98391,,Land,"$450,000",N/A,N/A,N/A,Investment
LN-12239253,https://www.loopnet.com/Listing/6802-27th-St-W-University-Place-WA/12239253/,6802 27th St W,University Place,WA,98466,53053072311,Land,"$6,862,442",N/A,N/A,N/A,Investment
LN-12170223,https://www.loopnet.com/Listing/20115-20317-Meridian-Ave-E-Graham-WA/12170223/,20115-20317 Meridian Ave E,Graham,WA,98338,,Land,"$1,000,000",N/A,N/A,N/A,Investment
LN-11150078,https://www.loopnet.com/Listing/5408-Steilacoom-Blvd-SW-Lakewood-WA/11150078/,5408 Steilacoom Blvd SW,Lakewood,WA,98499,53053071807,Retail,"$365,000","4,400 SF",B,1927/1978,Owner User
LN-/8895301,https://www.loopnet.com/Listing/176th-St-Puyallup-WA/8895301/,176th St,Puyallup,WA,98375,,Land,"$692,000",N/A,N/A,N/A,InvestmentorOwnerUser
LN-/7336077,https://www.loopnet.com/Listing/12111-Pacific-Hwy-S-Lakewood-WA/7336077/,12111 Pacific Hwy S,Lakewood,WA,98499,53053071806,Land,"$1,350,000",N/A,N/A,N/A,Investment
LN-/6176568,https://www.loopnet.com/Listing/18414-Veterans-Memorial-Hwy-Bonney-Lake-WA/6176568/,18414 Veterans Memorial Hwy,Bonney Lake,WA,98391,,Land,"$297,000",N/A,N/A,N/A,Investment
LN-/5650350,https://www.loopnet.com/Listing/9321-S-Tacoma-Way-Lakewood-WA/5650350/,9321 S Tacoma Way,Lakewood,WA,98499,53053071808,Retail,"$1,100,000","2,032 SF",C,1947,Owner User
LN-/4000808,https://www.loopnet.com/Listing/22605-22723-22809-Meridian-Ave/4000808/,"22605, 22723 & 22809 Meridian Ave",N/A,N/A,N/A,,N/A,"$8,122,000",N/A,N/A,N/A,Investment
LN-/3958478,https://www.loopnet.com/Listing/3230-N-Narrows-Dr-Tacoma-WA/3958478/,3230 N Narrows Dr,Tacoma,WA,98407,53053060903,Land,"$7,900,000",N/A,N/A,N/A,Investment
LN-/3945583,https://www.loopnet.com/Listing/19406-Mountain-Hwy-E-Spanaway-WA/3945583/,19406 Mountain Hwy E,Spanaway,WA,98387,53053071416,Land,"$5,400,000",N/A,N/A,N/A,Investment
LN-/3911031,https://www.loopnet.com/Listing/16611-Canyon-Rd-E-Puyallup-WA/3911031/,16611 Canyon Rd E,Puyallup,WA,98375,53053071309,Land,"$4,000,000",N/A,N/A,N/A,Investment
LN-/3857046,https://www.loopnet.com/Listing/Military-Rd-E-Edgewood-WA/3857046/,Military Rd E,Edgewood,WA,98372,,Land,"$990,000",N/A,N/A,N/A,Investment
LN-/3839013,https://www.loopnet.com/Listing/8306-8314-166th-St-E-Puyallup-WA/3839013/,8306-8314 166th St E,Puyallup,WA,98375,53053073127,Land,"$995,000",N/A,N/A,N/A,Investment
LN-/3788534,https://www.loopnet.com/Listing/4723-E-Freeman-Rd-Puyallup-WA/3788534/,4723 E Freeman Rd,Puyallup,WA,98371,53053940010,Land,"$1,650,000",N/A,N/A,N/A,Investment
LN-/3726167,https://www.loopnet.com/Listing/1123-Pacific-Ave-Tacoma-WA/3726167/,1123 Pacific Ave,Tacoma,WA,98402,53053061601,Office,"$4,975,000","26,804 SF",B,1919/2007,Investment or Owner User
LN-21490344,https://www.loopnet.com/Listing/10002-Steele-St-Tacoma-WA/21490344/,10002 Steele St,Tacoma,WA,98444,,Industrial,N/A,"128,634SF",A,2022,InvestmentorOwnerUser
LN-19771017,https://www.loopnet.com/Listing/State-Route-7-Spanaway-WA/19771017/,State Route 7,Spanaway,WA,98387,,Land,N/A,N/A,N/A,N/A,InvestmentorOwnerUser
LN-17213558,https://www.loopnet.com/Listing/Cedar-Plaza/17213558/,Cedar Plaza,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,Investment
LN-14058037,https://www.loopnet.com/Listing/Portfolio-Sale-of-2-Lakewood-Properties/14058037/,Portfolio of 2 Properties,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,InvestmentorOwnerUser
LN-/3934491,https://www.loopnet.com/Listing/14401-Pacific-Ave-Tacoma-WA/3934491/,14401 Pacific Ave,Tacoma,WA,98444,,Land,N/A,N/A,N/A,N/A,Investment
LN-/3884778,https://www.loopnet.com/Listing/5412-176th-St-E-Puyallup-WA/3884778/,5412 176th St E,Puyallup,WA,98375,53053073128,Land,N/A,N/A,N/A,N/A,OwnerUser
LN-/3833911,https://www.loopnet.com/Listing/35026-90th-Ave-S-Roy-WA/3833911/,35026 90th Ave S,Roy,WA,98580,53053073001,Land,N/A,N/A,N/A,N/A,Investment
LN-21644688,https://www.loopnet.com/Listing/737-S-Fawcett-Ave-Tacoma-WA/21644688/,737 S Fawcett Ave,Tacoma,WA,98402,53053061601,Office,"$6,000,000","47,234 SF",C,1967,Owner User
LN-21591429,https://www.loopnet.com/Listing/2110-136th-Ave-E-Sumner-WA/21591429/,2110 136th Ave E,Sumner,WA,98390,53053073301,Land,"$1,000,000",N/A,N/A,N/A,OwnerUser
LN-21413607,https://www.loopnet.com/Listing/12505-Canyon-Rd-E-Puyallup-WA/21413607/,12505 Canyon Rd E,Puyallup,WA,98373,53053071307,Land,"$740,520",N/A,N/A,N/A,Investment
LN-21165916,https://www.loopnet.com/Listing/10012-225th-St-Ct-Graham-WA/21165916/,10012 225th St Ct,Graham,WA,98338,,Land,"$475,000",N/A,N/A,N/A,InvestmentorOwnerUser
LN-12763776,https://www.loopnet.com/Listing/5717-Wollochet-Dr-Gig-Harbor-WA/12763776/,5717 Wollochet Dr,Gig Harbor,WA,98335,53053072407,Office,"$1,000,000","5,807 SF",B,1995,Investment
LN-12075372,https://www.loopnet.com/Listing/112-A-St-E-Tacoma-WA/12075372/,112 A St E,Tacoma,WA,98445,,Land,"$542,000",N/A,N/A,N/A,Investment
LN-11493457,https://www.loopnet.com/Listing/NW-Freeman-Rd-26th-St-Fife-WA/11493457/,NW Freeman Rd & 26th St,Fife,WA,98424,,Land,N/A,N/A,N/A,N/A,Investment
