Block Group ID,Average Block Group Score,Population,Population: 3 Miles,Households: 3 Miles,Kids under 5,Percent Kids under 5,Kids under 5: 3 Miles,Percent Kids under 5: 3 Miles,Kids 5 to 9,Percent Kids 5 to 9,Kids 5 to 9: 3 Miles,Percent Kids 5 to 9: 3 Miles,Average Age,Household income under 40K: 3 Mile,Household income 40K to 50K: 3 Mile,Household income 50K to 60K: 3 Mile,Household income 60K to 75K: 3 Mile,Household income 75K to 100K: 3 Mile,Household income 100K to 125K: 3 Mile,Household income 125K to 150K: 3 Mile,Household income 150K to 200K: 3 Mile,Household income 200K+: 3 Mile
530330226031,,746,115565,47836,21,0.028,7350,0.064,15,0.02,6708,0.058,57.1,0.153,0.047,0.051,0.072,0.124,0.124,0.103,0.136,0.189
530670116232,,5148,60924,23425,611,0.119,4008,0.066,491,0.095,3962,0.065,30.5,0.218,0.087,0.085,0.128,0.184,0.119,0.073,0.068,0.036
530539400113,,1067,41940,14767,44,0.041,2595,0.062,30,0.028,2334,0.056,51.9,0.172,0.076,0.061,0.096,0.146,0.134,0.105,0.114,0.095
530530714113,,1837,44699,14822,217,0.118,3188,0.071,106,0.058,3946,0.088,28.3,0.247,0.071,0.097,0.134,0.188,0.086,0.083,0.058,0.035
530330316051,,1238,27562,9520,75,0.061,2018,0.073,20,0.016,2760,0.1,52.9,0.143,0.047,0.045,0.098,0.159,0.151,0.113,0.139,0.107
530330264003,,1433,133236,47820,57,0.04,8529,0.064,91,0.064,8961,0.067,36.3,0.335,0.093,0.084,0.088,0.13,0.091,0.072,0.06,0.047
530530714033,,1251,58796,19786,55,0.044,4137,0.07,65,0.052,3963,0.067,37.2,0.283,0.073,0.107,0.119,0.185,0.08,0.068,0.059,0.027
530330217002,,2170,64740,25362,207,0.095,4568,0.071,101,0.047,4390,0.068,35.6,0.162,0.059,0.057,0.085,0.124,0.106,0.113,0.15,0.143
530330293073,,1355,84588,29691,43,0.032,5176,0.061,152,0.112,5373,0.064,42.1,0.172,0.065,0.077,0.112,0.168,0.131,0.089,0.11,0.076
530330274003,,1605,103869,37520,68,0.042,7555,0.073,52,0.032,7145,0.069,40.4,0.313,0.101,0.085,0.099,0.125,0.09,0.071,0.062,0.054
530670122111,,1118,9042,3716,39,0.035,400,0.044,82,0.073,507,0.056,53.7,0.184,0.055,0.05,0.128,0.151,0.116,0.091,0.133,0.091
