"Block.Group.ID","Average.Block.Group.Score","Population","Population.3.Mile","Households.3.Mile","Percent.Kids.under.5","Percent.Kids.under.5.3.Mile","Percent.Kids.5.to.9","Percent.Kids.5.to.9.3 Mile","Average.Age","Household.income.under.40K.3Mile","Household.income.40K.to.50K.3.Mile","Household.income.50K.to.60K.3.Mile","Household.income.60K.to.75K.3.Mile","Household.income.75K.to.100K.3.Mile","Household.income.100:.125K.3.Mile","Household.income.125K.to.150K.3.Mile","Household.income.150K.to.200K.3.Mile","Household.income.200K+.3Mile","Score"
"530530629003",NA,880,132326,50119,0.06,0.075,0.03,0.07,35.9,0.369,0.111,0.101,0.108,0.133,0.082,0.04,0.03,0.027,2.81394484962042
"530530713041",NA,2141,82687,29504,0.09,0.066,0.055,0.063,32.9,0.221,0.076,0.078,0.117,0.152,0.129,0.084,0.083,0.059,4.96454107411284
"530330298015",NA,2345,104343,36896,0.054,0.074,0.134,0.08,32.4,0.317,0.089,0.092,0.127,0.128,0.086,0.061,0.056,0.045,3.36147179513332
"530330303091",NA,1430,104764,38092,0.045,0.066,0.067,0.065,43.4,0.267,0.081,0.083,0.121,0.142,0.104,0.083,0.069,0.051,2.88516053547667
"530530607006",NA,949,99191,43011,0.048,0.056,0.106,0.056,28,0.339,0.088,0.072,0.1,0.129,0.094,0.059,0.064,0.053,2.73573261670391
"530330288021",NA,2070,73213,26704,0.098,0.069,0.121,0.068,33,0.284,0.103,0.094,0.106,0.126,0.103,0.066,0.062,0.056,5.26354601424414
"530330323111",NA,1143,10218,3347,0.017,0.061,0,0.064,53.6,0.086,0.038,0.033,0.031,0.111,0.155,0.056,0.174,0.316,4.27812005387461
"530330295023",NA,1644,107418,35125,0.096,0.07,0.066,0.071,34.6,0.252,0.074,0.076,0.113,0.14,0.11,0.087,0.082,0.066,4.7336544267062
"530330323263",NA,982,38763,13889,0.037,0.063,0.12,0.071,41.2,0.106,0.041,0.048,0.047,0.093,0.123,0.071,0.136,0.334,2.32725279503048
"530530613003",NA,797,108481,44310,0.01,0.058,0.142,0.063,31.7,0.348,0.099,0.077,0.1,0.134,0.09,0.052,0.059,0.041,2.64776503290486
"530670109103",NA,1631,56748,24561,0.058,0.047,0.015,0.051,34.1,0.31,0.096,0.09,0.097,0.148,0.102,0.063,0.051,0.044,3.36337458452773
"530330229012",NA,1373,104520,41111,0.051,0.063,0.053,0.072,43.1,0.164,0.04,0.04,0.077,0.114,0.128,0.083,0.137,0.216,2.99840684032041
