CS_ID,url,Address_Line,City,State,Postal_Code,GeoCode,Property_Type,Price,SquareFeet,Building_Class,Year_Built,Parking_Ratio,Sale_Type
LN-/6176568,https://www.loopnet.com/Listing/18414-Veterans-Memorial-Hwy-Bonney-Lake-WA/6176568/,18414 Veterans Memorial Hwy,Bonney Lake,WA,98391,,Land,297000,,N/A,N/A,N/A,Investment
LN-/5650350,https://www.loopnet.com/Listing/9321-S-Tacoma-Way-Lakewood-WA/5650350/,9321 S Tacoma Way,Lakewood,WA,98499,53053071808,Retail,1100000,2032,C,1947,N/A,Owner User
LN-/4000808,https://www.loopnet.com/Listing/22605-22723-22809-Meridian-Ave/4000808/,"22605, 22723 & 22809 Meridian Ave",N/A,N/A,N/A,,N/A,8122000,,N/A,N/A,N/A,Investment
LN-/3958478,https://www.loopnet.com/Listing/3230-N-Narrows-Dr-Tacoma-WA/3958478/,3230 N Narrows Dr,Tacoma,WA,98407,53053060903,Land,7900000,,N/A,N/A,N/A,Investment
LN-/3945583,https://www.loopnet.com/Listing/19406-Mountain-Hwy-E-Spanaway-WA/3945583/,19406 Mountain Hwy E,Spanaway,WA,98387,53053071416,Land,5400000,,N/A,N/A,N/A,Investment
LN-/3911031,https://www.loopnet.com/Listing/16611-Canyon-Rd-E-Puyallup-WA/3911031/,16611 Canyon Rd E,Puyallup,WA,98375,53053071309,Land,4000000,,N/A,N/A,N/A,Investment
LN-/3857046,https://www.loopnet.com/Listing/Military-Rd-E-Edgewood-WA/3857046/,Military Rd E,Edgewood,WA,98372,,Land,990000,,N/A,N/A,N/A,Investment
LN-/3839013,https://www.loopnet.com/Listing/8306-8314-166th-St-E-Puyallup-WA/3839013/,8306-8314 166th St E,Puyallup,WA,98375,53053073127,Land,995000,,N/A,N/A,N/A,Investment
LN-/3788534,https://www.loopnet.com/Listing/4723-E-Freeman-Rd-Puyallup-WA/3788534/,4723 E Freeman Rd,Puyallup,WA,98371,53053940010,Land,1650000,,N/A,N/A,N/A,Investment
LN-/3726167,https://www.loopnet.com/Listing/1123-Pacific-Ave-Tacoma-WA/3726167/,1123 Pacific Ave,Tacoma,WA,98402,53053061601,Office,4975000,26804,B,1919/2007,N/A,Investment or Owner User
LN-21490344,https://www.loopnet.com/Listing/10002-Steele-St-Tacoma-WA/21490344/,10002 Steele St,Tacoma,WA,98444,,Industrial,,128441,A,2021,"1.33/1,000SF",InvestmentorOwnerUser
LN-21229150,https://www.loopnet.com/Listing/3727-112th-St-SW-Lakewood-WA/21229150/,3727 112th St SW,Lakewood,WA,98499,53053071706,Industrial,,17673,C,1992,"0.91/1,000SF",OwnerUser
LN-21167046,https://www.loopnet.com/Listing/9902-200th-Ave-Bonney-Lake-WA/21167046/,9902 200th Ave,Bonney Lake,WA,98391,53053070310,Retail,,3062,C,2020,N/A,Investment NNN
LN-20921986,https://www.loopnet.com/Listing/821-Dock-St-Tacoma-WA/20921986/,821 Dock St,Tacoma,WA,98402,53053060200,Industrial,,24442,B,1980,"1.5/1,000SF",Investment
LN-19771017,https://www.loopnet.com/Listing/State-Route-7-Spanaway-WA/19771017/,State Route 7,Spanaway,WA,98387,,Land,,,N/A,N/A,N/A,InvestmentorOwnerUser
LN-17213558,https://www.loopnet.com/Listing/Cedar-Plaza/17213558/,Cedar Plaza,N/A,N/A,N/A,,N/A,,,N/A,N/A,N/A,Investment
LN-14058037,https://www.loopnet.com/Listing/Portfolio-Sale-of-2-Lakewood-Properties/14058037/,Portfolio of 2 Properties,N/A,N/A,N/A,,N/A,,,N/A,N/A,N/A,InvestmentorOwnerUser
LN-/3884778,https://www.loopnet.com/Listing/5412-176th-St-E-Puyallup-WA/3884778/,5412 176th St E,Puyallup,WA,98375,53053073128,Land,,,N/A,N/A,N/A,OwnerUser
LN-/3833911,https://www.loopnet.com/Listing/35026-90th-Ave-S-Roy-WA/3833911/,35026 90th Ave S,Roy,WA,98580,53053073001,Land,,,N/A,N/A,N/A,Investment
LN-21413607,https://www.loopnet.com/Listing/12505-Canyon-Rd-E-Puyallup-WA/21413607/,12505 Canyon Rd E,Puyallup,WA,98373,53053071307,Land,740520,,N/A,N/A,N/A,Investment
LN-21165916,https://www.loopnet.com/Listing/10012-225th-St-Ct-Graham-WA/21165916/,10012 225th St Ct,Graham,WA,98338,,Land,475000,,N/A,N/A,N/A,InvestmentorOwnerUser
LN-20922889,https://www.loopnet.com/Listing/3829-6th-Ave-Tacoma-WA/20922889/,3829 6th Ave,Tacoma,WA,98406,53053060700,Retail,925000,4415,C,1926,N/A,Investment
LN-12170223,https://www.loopnet.com/Listing/20115-20317-Meridian-Ave-E-Graham-WA/12170223/,20115-20317 Meridian Ave E,Graham,WA,98338,,Land,1000000,,N/A,N/A,N/A,Investment
LN-12075372,https://www.loopnet.com/Listing/112-A-St-E-Tacoma-WA/12075372/,112 A St E,Tacoma,WA,98445,,Land,542000,,N/A,N/A,N/A,Investment
LN-11493457,https://www.loopnet.com/Listing/NW-Freeman-Rd-26th-St-Fife-WA/11493457/,NW Freeman Rd & 26th St,Fife,WA,98424,,Land,,,N/A,N/A,N/A,Investment
LN-/6476655,https://www.loopnet.com/Listing/1614-19th-Ave-SE-Puyallup-WA/6476655/,1614 19th Ave SE,Puyallup,WA,98372,53053073406,Land,1875000,,N/A,N/A,N/A,Investment
LN-/3934491,https://www.loopnet.com/Listing/14401-Pacific-Ave-Tacoma-WA/3934491/,14401 Pacific Ave,Tacoma,WA,98444,,Land,,,N/A,N/A,N/A,Investment
LN-/3867829,https://www.loopnet.com/Listing/400-Meridian-E-Milton-WA/3867829/,400 Meridian E,Milton,WA,98354,53053070703,Land,600000,,N/A,N/A,N/A,InvestmentorOwnerUser
